what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1477829050083
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1477829050084
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1477829050084
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477829050085
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1477829050086
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477829050086
os,sysinfo,,,"linux",1477829050089
arch,sysinfo,,,"x86_64",1477829050089
ws,sysinfo,,,"gtk",1477829050089
locale,sysinfo,,,"en_US",1477829050089
processors,sysinfo,,,"4",1477829050090
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477829050090
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1477829050090
java.specification.name,sysinfo,,,"Java Platform API Specification",1477829050090
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477829050090
java.specification.version,sysinfo,,,"1.8",1477829050090
java.vendor,sysinfo,,,"Oracle Corporation",1477829050090
java.version,sysinfo,,,"1.8.0_111",1477829050090
java.vm.info,sysinfo,,,"mixed mode",1477829050090
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1477829050090
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477829050090
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1477829050090
java.vm.specification.version,sysinfo,,,"1.8",1477829050090
java.vm.vendor,sysinfo,,,"Oracle Corporation",1477829050090
java.vm.version,sysinfo,,,"25.111-b14",1477829050090
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477829051501
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1477829064889
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1477829065120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829065202
error,log,,,"Invalid project description.",1477829074415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829074513
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1477829077656
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1477829092407
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477829092594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477829092617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1477829092618
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1477829092809
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1477829092837
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1477829092869
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1477829101038
opened,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1477829109450
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1477829109477
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1477829116839
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477829120042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1477829129087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829131645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829233801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829240699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1477829242276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829242305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829243226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829350153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829353257
error,log,,,"Invalid project description.",1477829367599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1477829367660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829367714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829384942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1477829424728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829424754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829426228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477829427645
